Percentage served,Time in ms
0,93.938
1,147.965
2,150.913
3,152.285
4,154.260
5,155.825
6,156.460
7,156.968
8,157.523
9,158.254
10,159.779
11,160.542
12,161.005
13,161.306
14,161.578
15,161.869
16,162.163
17,162.481
18,162.724
19,163.224
20,163.754
21,164.370
22,164.978
23,165.470
24,165.851
25,166.218
26,166.598
27,166.947
28,167.342
29,167.762
30,168.164
31,168.591
32,169.095
33,169.663
34,170.038
35,170.404
36,170.729
37,171.101
38,171.434
39,171.777
40,172.107
41,172.428
42,172.862
43,173.300
44,173.859
45,174.462
46,174.957
47,175.381
48,175.778
49,176.103
50,176.543
51,176.933
52,177.519
53,177.981
54,178.405
55,178.988
56,179.570
57,180.122
58,180.641
59,181.209
60,181.717
61,182.293
62,182.880
63,183.462
64,184.186
65,184.817
66,185.333
67,185.870
68,186.604
69,187.390
70,188.191
71,189.058
72,189.942
73,191.091
74,192.461
75,193.785
76,194.884
77,196.934
78,199.486
79,203.101
80,208.947
81,217.156
82,228.237
83,237.484
84,275.930
85,360.005
86,377.557
87,392.039
88,989.996
89,1161.208
90,1166.088
91,1170.275
92,1174.066
93,1178.746
94,1184.297
95,1190.891
96,1274.864
97,3157.747
98,3181.790
99,4569.679
